nama_rumah_sakit,jenis_rumah_sakit,alamat,kelurahan,kecamatan,kabupaten_kota,kode_pos,nomor_telepon,nomor_fax,alamat_email,alamat_website,jumlah_tempat_tidur_kelas_vvip,jumlah_tempat_tidur_kelas_vip,jumlah_tempat_tidur_kelas_eksekutif,jumlah_tempat_tidur_kelas_kelas_1,jumlah_tempat_tidur_kelas_kelas_2,jumlah_tempat_tidur_kelas_kelas_3,jumlah_tempat_tidur_kelas_perinatal,jumlah_tempat_tidur_ruang_icu,jumlah_tempat_tidur_ruang_picu,jumlah_tempat_tidur_ruang_nicu,jumlah_tempat_tidur_ruang_hcu,jumlah_tempat_tidur_ruang_iccu,jumlah_tempat_tidur_ruang_igd,jumlah_tempat_tidur_ruang_isolasi,jumlah_tempat_tidur_ruang_1_day_care,jumlah_tempat_tidur_ruang_operasi,jumlah_tempat_tidur_kamar_bersalin,jumlah_tempat_tidur_kelas_hemodialisa,jumlah_tempat_tidur_ruang_anak,jumlah_tempat_tidur_non_kelas,jumlah_tempat_tidur_lain_lain
Olahraga Nasional,Rumah Sakit Umum,Jalan  Jambore  Nomor 1,Cibubur,Ciracas,Jakarta Timur,13720,(021) 87753977,,rsolahragacibubur@gmail.com,,1,2,,9,12,20,1,  ,  ,  ,4,  ,6,1,  ,2,3,  ,1,  ,  
Pertamina Jaya,Rumah Sakit Umum,"Jl. Achmad Yani No. 2, By Pass",Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,(021) 4211911,(021) 4211913,pertamedika.rspj@gmail.com,www.rspj.co.id,2,13,4,10,11,13,1,4,  ,  ,  ,  ,9,2,  ,3,1,16,3,  ,  
Pekerja,Rumah Sakit Umum,"Jalan  Raya Cakung Cilincing, RT.002/RW.003 ",Sukapura,Cilincing,Jakarta Utara,14140,(021) 29484848  (10 lines),(021) 29482875,"rsu.pekerja@gmail.com, rs.umum.pekerja@gmail.com",www.rsupekerja.com,,1,,4,12,12,3,  ,  ,  ,3,  ,  ,1,  ,1,1,  ,  ,  ,  
Pelabuhan Jakarta,Rumah Sakit Umum,"Jl. Kramat Jaya, Tanjung Priok",Tugu Utara,Koja,Jakarta Utara,14260,(021) 4403026,(021) 4403551 / 4406886,marketing.rspj@gmail.com,www.rspelabuhan.com,5,5,,18,47,55,8,7,  ,  ,  ,  ,24,  ,  ,24,  ,24,  ,  ,  
Pelni,Rumah Sakit Umum,Jl. Aipda K.S. Tubun No. 92-94,Slipi,Pal Merah,Jakarta Barat,11410,(021) 5480608 / 5306901,(021) 5483145,"rspelni@yahoo.com, pemasaran.rspelni@gmail.com","www.rspelni.co.id, prime.rspelni.co.id",,38,21,156,116,129,10,14,  ,1,14,  ,36,10,16,8,4,100,35,  ,  
Pusat Pertamina ,Rumah Sakit Umum,Jl. Kyai Maja No. 43,Gunung,Kebayoran Baru,Jakarta Selatan,12120,(021) 7219202-7200290,(021) 7209811 / 7203540,humasrspp@pertamedika.co.id,www.rspp.co.id,40,92,60,60,24,45,10,8,3,1,8,22,15,3,  ,6,3,23,  ,  ,  
Aneka Tambang Medika (Antam Medika),Rumah Sakit Umum,Jl. Pemuda Raya No. 1A RT.002 / RW.07,Jatinegara Kaum,Pulogadung,Jakarta Timur,13210,(021) 29378939 / 29378943,(021) 29378960,rumahsakit@antammedika.co.id,www.antammedika.co.id,4,8,,12,45,24,  ,7,  ,4,  ,  ,10,6,  ,,,  ,,  ,
Tarakan,Rumah Sakit Umum Daerah,Jl. Kyai Caringin No. 7,Cideng,Gambir,Jakarta Pusat,10150,(021) 3503150 / 3503003 / 3508993,(021) 3503412 /  3863309,"rsd_tarakan@yahoo.com, adjikurnianto@gmail.com",www.rstarakanjakarta.com,,9,,65,66,229,20,12,9,9,  ,7,42,5,  ,  ,  ,14,8,  ,  
Koja,Rumah Sakit Umum Daerah,Jl. Deli No. 4  Tanjung Priok,Koja,Koja,Jakarta Utara,14220,(021) 43938478,(021) 4352401 - 4372273,"RSUDKOJA@ymail.com ; rsudkoja@yahoo.com, dinalaela.dns@gmail.com",www.rsudkoja.com,1,14,,32,64,484,50,24,20,20,12,15,22,28,  ,10,34,44,111,  ,  
Cengkareng,Rumah Sakit Umum Daerah,"Jl. Kamal Raya, Bumi Cengkareng Indah",Cengkareng Timur,Cengkareng,Jakarta Barat,11730,(021) 5442692  / 54372874 - 6,(021) 54372884  / 54374844  / 5442693,ssugino@ymail.com ; hafifahany@rsudcengkareng.com,www.rsudcengkareng.com,,9,,18,20,158,21,8,  ,4,25,  ,25,41,  ,6,6,26,46,58,  
Pasar Minggu,Rumah Sakit Umum Daerah,Jalan  T.B Simatupang  Nomor 1  RT.001 / RW.005,Ragunan,Pasar Minggu,Jakarta Selatan,12550,(021) 021 7808034,,rsud.pasarminggu@yahoo.com,www.rsudpasarminggu@yahoo.com,13,6,,44,60,286,11,37,7,12,8,7,33,8,  ,6,13,15,56,  ,  
Budhi Asih ,Rumah Sakit Umum Daerah,Jl. Dewi Sartika  Cawang III  No. 200,Cawang,Kramat Jati,Jakarta Timur,13630,(021) 8090282 / 8092482,(021) 8009157-8007348,rsudbudhiasih200@gmail.com ; budhiasih@ymail.com ; tjaturjogiono@yahoo.com,www.rsudbudhiasih.com,,12,,34,72,263,14,6,5,6,12,  ,27,31,  ,6,12,15,33,  ,  
Pasar Rebo,Rumah Sakit Umum Daerah,Jalan  Letjen T.B. Simatupang  Nomor 30,Gedong,Pasar Rebo,Jakarta Timur,13760,(021) 8401127/ 8400109,(021) 8411159,rsudpasarrebo@yahoo.com,www.rsudpasarrebo.com,1,2,,44,43,181,9,6,7,22,7,6,24,9,  ,7,7,18,35,6,  
Adhyaksa,Rumah Sakit Umum Daerah,Jalan  Hankam Raya  Nomor 60,Ceger,Cipayung,Jakarta Timur,13820,,(021) 29462370,adhyaksarsu@gmail.com,www.rsuadhyaksa.com,,1,,11,17,24,8,1,  ,  ,3,  ,8,7,  ,2,6,6,16,16,  
Duren Sawit,Rumah Sakit Khusus Jiwa,Jl. Duren Sawit Baru No. 2,Duren Sawit,Duren Sawit,Jakarta Timur,13440,(021) 8628686 / 8617601,(021) 8628659,rskddurensawit@gmail.com,www.rsdurensawit.go.id,,,,8,10,132,  ,  ,  ,  ,6,  ,8,  ,  ,  ,  ,  ,  ,30,  
Kepulauan Seribu,Rumah Sakit Umum Daerah,Pulau Pramuka,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,14510,,(021) 33312388 / 37175900,rsukepulauanseribu@yahoo.co.id,,,,,,,10,  ,  ,  ,  ,  ,  ,1,  ,1,,,  ,,  ,2
Tanah Abang,Rumah Sakit Umum Daerah,Jalan K.H. Mas Mansyur  Nomor 30,Kebon Kacang,Tanah Abang,Jakarta Pusat,10210,(021) 3150427  / 31902143,(021) 31902143,rsutnabang@gmail.com,rsudtanahabang.co.id,,,,,,26,  ,  ,  ,  ,1,  ,3,2,  ,  ,2,  ,7,  ,  
Cempaka Putih,Rumah Sakit Umum Daerah,Jalan  Rawasari Selatan  Nomor 1,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,(021) 4219548 / 42801341,(021) 4224243,rsucempakaputih@gmail.com,,,,,,,29,3,  ,  ,  ,1,  ,5,1,  ,1,3,  ,10,  ,  
Johar Baru,Rumah Sakit Umum Daerah,Jalan  Tanah Tinggi XII,Tanah Tinggi,Johar Baru,Jakarta Pusat,10540,(021) 4246359,(021) 4224041,rsujoharbaru@gmail.com,,,,,,,30,3,  ,  ,  ,2,  ,3,3,  ,1,3,  ,  ,  ,  
Kemayoran,Rumah Sakit Umum Daerah,Jalan  Serdang Baru I,Serdang,Kemayoran,Jakarta Pusat,10650,(021) 4801847,(021) 4801846,rsukemayoran@gmail.com,rsukemayoran.jakarta.go.id,,,,,,48,4,  ,  ,  ,2,  ,5,1,  ,1,7,  ,21,  ,  
Sawah Besar,Rumah Sakit Umum Daerah,Jalan  Dwiwarna Raya  Nomor 6-8,Karang Anyar,Sawah Besar,Jakarta Pusat,10740,(021) 6289080 / 4224041,(021) 4224041,"eduardthomasp@gmail.com, rsusawahbesar@gmail.com",,,,,,,27,4,  ,  ,  ,22,  ,5,  ,  ,1,2,  ,  ,  ,  
Cilincing,Rumah Sakit Umum Daerah,Jalan  Madya Kebantenan  Nomor 4,Semper Timur,Cilincing,Jakarta Utara,14130,(021) 4412889 / 4416367,(021) 4412889 / 4416367,rsukcilincing@gmail.com,,,,,,,14,3,  ,  ,  ,1,  ,6,  ,  ,1,5,  ,8,  ,  
Tugu Koja,Rumah Sakit Umum Daerah,Jalan  Walang Permai  Nomor 39,Tugu Utara,Koja,Jakarta Utara,14260,(021) 43905651/ 4358809,(021) 4367168,rsukeckoja@yahoo.com,www.rsudtugukoja.com,,,,,,19,4,  ,  ,  ,1,  ,6,1,  ,1,5,  ,8,  ,  
Tanjung Priok,Rumah Sakit Umum Daerah,Jalan  Bugis  Nomor 3,Kebon Bawang,Tanjung Priok,Jakarta Utara,14310,,,mr_rsudtjpriok@yahoo.com,,,,,,,40,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pademangan,Rumah Sakit Umum Daerah,Jalan Budi Mulia Raya Nomor 2 RT.0015/RW.011,Pademangan Barat,Pademangan,Jakarta Utara,14420,,,rsupademangan@gmail.com,,,,,,,20,2,  ,  ,  ,2,  ,5,2,  ,1,7,  ,13,  ,  
Tamansari,Rumah Sakit Umum Daerah,Jalan Madu  Nomor 10 RT.002 / RW.03,Mangga Besar,Tamansari,Jakarta Barat,11150,(021) 629775/6297752,,rsuktamansari@gmail.com,,,,,,,24,  ,  ,  ,  ,  ,  ,5,5,  ,  ,6,  ,15,  ,  
Kembangan,Rumah Sakit Umum Daerah,Jalan  Topaz Blok F-2  Nomor 3,Meruya Ilir,Kembangan,Jakarta Barat,11620,(021) 5870834,(021) 5870834,pkm_kembangan@yahoo.com ; rsudkembangan@gmail.com,www.rsudkembangan.com,,,,,,11,  ,  ,  ,  ,1,  ,4,1,1,1,9,  ,8,  ,  
Kalideres,Rumah Sakit Umum Daerah,Jalan  Satu Maret  Nomor 48  RT.001 / RW.04,Pegadungan,Kalideres,Jakarta Barat,11830,(021) 22526519/ 22552766,(021) 54390576,rskalideres@gmail.com,www.rsukalideres.com,,,,,,20,2,  ,  ,  ,4,  ,8,2,  ,1,8,  ,  ,  ,  
Kebayoran Baru,Rumah Sakit Umum Daerah,Jalan H. Abdul Majid  Nomor 1 RT.002/RW.05,Cipete Utara,Kebayoran Baru,Jakarta Selatan,12150,(021) 08999554177  / 22774429  / 22774461,(021) 22774464  / 22774429,rsudkebayoranbaru@gmail.com,,,,,,,36,1,  ,  ,  ,1,  ,4,1,  ,1,2,  ,  ,  ,  
Kebayoran Lama,Rumah Sakit Umum Daerah,Jalan  Jetayu  RT.001 / RW.012,Kebayoran Lama Selatan,Kebayoran Lama,Jakarta Selatan,12240,(021) 7245439,,,,,,,,,35,  ,  ,  ,  ,2,  ,5,2,  ,1,7,  ,  ,  ,  
Pesanggrahan,Rumah Sakit Umum Daerah,Jalan  Cenek 1  Nomor 1,Pesanggrahan,Pesanggrahan,Jakarta Selatan,12320,(021) 7356087,,rsupesanggrahan@gmail.com,,,,,,,39,  ,  ,  ,  ,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Jatipadang,Rumah Sakit Umum Daerah,Jalan  Raya Ragunan  Nomor 16-17,Jatipadang,Pasar Minggu,Jakarta Selatan,12540,(021) 22784448,(021) 22784446,rsudjatipadang@gmail.com,"www.rsudjatipadang.jakarta.go.id , www.rsudjatipadang.com",,,,,,52,5,  ,  ,  ,1,  ,5,1,  ,1,2,  ,  ,  ,  
Jagakarsa,Rumah Sakit Umum Daerah,Jalan  Mohamad Kahfi 1  Nomor 27 A,Jagakarsa,Jagakarsa,Jakarta Selatan,12620,(021) 7864707 - 78882455,(021) 22708072,rsukecjagakarsa@gmail.com,rsudjagakarsa.jakarta.go.id,,,,,,17,3,  ,  ,  ,3,  ,4,1,  ,1,3,  ,8,  ,  
Mampang Prapatan,Rumah Sakit Umum Daerah,Jalan  Kapten P. Tendean  Nomor 9,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,12790,(021) 79192187,,rsudmampangprapatan@gmail.com,,,,,,,29,2,  ,  ,  ,2,  ,3,  ,  ,1,2,  ,  ,  ,6
Tebet,Rumah Sakit Umum Daerah,"Jalan  Prof. Supomo, SH  Nomor 54",Tebet Barat,Tebet,Jakarta Selatan,12810,(021) 8314955,(021) 8296918,"rsutebet@gmail.com, rsutebet@jakarta.go.id",,,,,,,9,3,  ,  ,  ,2,  ,5,1,  ,1,3,  ,13,  ,  
Matraman,Rumah Sakit Umum Daerah,Jalan Kebon Kelapa Raya  Nomor 29 B,Matraman,Matraman,Jakarta Timur,13120,(021) 8581957  / 85909055,(021) 85909055,rsukmatraman@gmail.com,,,,,,,16,3,  ,  ,  ,3,  ,4,2,  ,2,5,  ,  ,  ,  
Kramat Jati,Rumah Sakit Umum Daerah,Jalan  Raya Inpres  Nomor 48,Kampung Tengah,Kramat Jati,Jakarta Timur,13540,(021) 87791152 / 87793604,(021) 87793604,rsukramatjati@gmail.com,,,,,,,26,4,  ,  ,  ,  ,  ,6,  ,  ,  ,2,  ,  ,  ,  
Ciracas,Rumah Sakit Umum Daerah,Jalan  Raya Lapangan Tembak,Cibubur I,Ciracas,Jakarta Timur,13720,(021) 87711249 / 8711189,(021) 8718995,rsuciracas@gmail.com,rsuciracas.jakarta.go.id,,,,,,18,  ,  ,  ,  ,3,  ,3,1,  ,1,5,  ,8,  ,  
Cipayung,Rumah Sakit Umum Daerah,Jalan  Mini III   RT.004 / RW.03,Bambu Apus,Cipayung,Jakarta Timur,13890,,,rsudcipayung@gmail.com,,,,,,,33,  ,  ,  ,  ,2,  ,5,1,  ,1,9,  ,  ,  ,  
